1,1000,2,66,77,69,68,200,59,88
2,998,4,105,188,111,99,141,35,147
3,996,6,87,69,117,36,38,72,156
4,994,8,156,196,11,199,40,108,34
5,992,10,157,152,108,,,,
6,990,12,111,171,96,,,,
7,988,14,197,192,90,179,27,133,54
8,986,16,173,67,62,74,197,151,182
9,984,18,195,171,170,11,199,15,35
10,982,20,148,79,199,99,116,30,121
11,980,22,2,101,179,198,43,23,131
12,978,24,156,155,40,47,117,194,11
13,976,26,14,114,99,,,,
14,974,28,120,67,52,174,137,2,125
15,972,30,43,,,,,,
16,970,32,150,143,123,72,191,118,67
17,968,34,82,66,53,149,31,168,200
18,966,36,98,78,52,60,159,89,35
19,964,38,88,135,123,95,10,163,134
20,962,40,131,134,35,45,89,40,181
21,960,42,164,115,148,105,94,111,120
22,958,44,11,121,151,47,200,127,90
23,956,46,147,80,158,174,36,5,38
24,954,48,50,112,121,124,124,128,113
25,952,50,10,152,88,90,140,159,170
26,950,52,141,134,53,12,191,78,125
27,948,54,132,166,150,130,48,70,61
28,946,56,143,150,116,159,143,68,70
29,944,58,50,104,48,117,5,76,7
30,942,60,95,146,17,163,53,38,9
31,940,62,99,130,142,150,59,179,73
32,938,64,132,98,167,30,151,44,100
33,936,66,130,75,14,34,176,51,115
34,934,68,119,21,101,28,85,114,2
35,932,70,26,165,16,125,76,62,103
36,930,72,110,185,145,49,77,173,187
37,928,74,22,79,79,129,2,186,127
38,926,76,178,40,167,199,80,142,131
39,924,78,163,71,115,190,,,
40,922,80,69,81,57,177,171,41,77
41,920,82,181,75,164,160,188,85,156
42,918,84,100,109,110,168,5,174,41
43,916,86,55,187,164,163,72,166,63
44,914,88,95,40,120,41,197,145,35
45,912,90,123,188,18,24,102,197,68
46,910,92,68,49,59,53,125,134,7
47,908,94,199,124,123,36,21,169,95
48,906,96,170,99,42,140,163,47,55
49,904,98,130,162,165,129,23,103,32
50,902,100,102,66,114,198,152,76,174
51,900,102,177,14,48,77,188,127,146
52,898,104,63,97,161,49,95,64,38
53,896,106,120,119,83,52,124,137,120
54,894,108,39,93,,,,,
55,892,110,194,82,124,29,2,62,14
56,890,112,118,46,32,190,151,77,82
57,888,114,66,137,2,7,121,107,61
58,886,116,186,51,179,106,47,16,199
59,884,118,53,128,106,68,47,117,198
60,882,120,188,75,164,106,82,32,117
61,880,122,28,95,72,151,187,157,112
62,878,124,111,60,152,57,68,50,54
63,876,126,133,61,167,80,44,153,32
64,874,128,197,110,94,146,93,160,54
65,872,130,188,78,114,189,96,112,139
66,870,132,170,197,112,186,109,27,19
67,868,134,173,162,79,76,8,54,154
68,866,136,156,172,182,15,,,
69,864,138,141,133,77,16,39,61,73
70,862,140,168,131,90,2,114,158,199
71,860,142,10,58,89,81,34,66,149
72,858,144,51,128,192,65,112,22,187
73,856,146,23,115,123,61,14,93,190
74,854,148,33,177,162,19,18,158,10
75,852,150,39,87,50,156,25,184,56
76,850,152,114,125,42,198,31,65,44
77,848,154,41,130,88,145,122,18,144
78,846,156,96,,,,,,
79,844,158,101,98,9,188,88,17,16
80,842,160,127,193,97,57,181,91,182
81,840,162,176,39,66,30,43,111,125
82,838,164,10,99,79,74,120,110,196
83,836,166,53,44,7,10,116,160,184
84,834,168,173,74,186,127,60,170,34
85,832,170,152,106,123,101,130,123,10
