1	722	964	436	198	377	923	606	345	225	69	848	283	799								
2	729	877	886	425	199	377	800	71	399	389	304	832	921	973	680						
3	869	1329	597	299	577	370	12	498	601												
4	651	141	848	189																	
5	465	719	841	96	199	185	176	374													
6	695	1844	136	48	893	545	3	632	664	356											
7	403	1012	501	153	69	640	389	824	548	306	727	222	210	923	944	550					
8	80	1755	684	490	967	902	376	165	234	963	604	56									
9	649	876	493	785	958	674	781	689	27	559											
10	796	701	389	195	191	925	124	949	994	922	755	183	671	913	538	783	125	987			
11	834	1352	768	899	868	319	728	424	964	270	769	391	850	922	888	139	142				
12	514	363	309	840	654	62	726	683	226	821	872	421	891	656	701	193	882	11	582	927	520
13	876	923	159	679	226	531	904	260	783	775	397	270									
14	943	27	836	132	707	173	186	93	907	552	544	379									
15	113	1379	41	877	557	214	993	305	513	806	681	974	835	196	778						
16	966	77	24	622																	
17	713	1376	47	879	874	755	335	783	555	949	614	301	114	841	246						
18	220	1811	183	276	638	500	719														
19	155	314	976	407	127	869	455	520	756	399	2	992	993	998	682	459	658	522	958		
20	857	135	722	354	532	746	133	879	841	346	76	188	946	891	722						
21	3	1556	657	685	495	94	544	714	840	254	226	907	536	723	617	116	542	862	88	483	
22	151	1246	380	737	576	679	411	324	813	46	103	276	680	681	731	865	273	363	973		
23	130	15	279	520	225	343	118	728	959	646	85	804									
24	240	1704	53	277	948																
25	918	830	391	27	209																
26	124	1262	43	886	251	270	500	115	353	143	109	596	859	512	233	561	682	365	168		
27	960	597	828																		
28	526	1356	324	444	558	996	616	487	70	397	594	488	76	841							
29	708	753	689	886	709	46	456	417	437	685	853	451	27	859							
30	248	1650	28	516	209	662	945	56	556	357	526	622	526	463							
31	918	1490	840	656	791	376	609	150	119	480	222	172									
32	886	1518	546	590	628	822	572	998	461	560	633	47	431	530	133	530					
33	183	849	954	519	940	368	610	370	68	872	216	445	908	36	986	490	60	296	851	810	
34	936	1986	891	919	285	925	208	610	361	845	476	619	936	57	292	218					
35	368	1637	935	221	560	949	356	554	552												
36	525	1293	372	234	281	720	247	431	226	63	600	656	442								
37	403	1520	27	739	825	971	979	695	272	691	478	515	874	715	433	755					
38	536	730	401	561	54	989	612	196	899	690	625	67	156	768	163	894					
39	533	921	922	616	728	581	545	951	284	680	756	766	845	531	998	470	527	235	923		
40	42	1683	718	415	544	926	282	354	628	117	923	315	620	341	255	579					
41	832	1839	152	855	609	770	309	856	430	55	160	627	596	628	533						
42	240	1707	754	136	508	72	802	299	192	323	167	756	441	146	504	276					
43	419	1276	598	771	186	233	936	409	559	115	871	122	727	33							
44	489	781	766	649																	
45	501	888	848	834	852	664	286	603	553												
46	415	568	883	209	958	22	935	468	668	459	818	727	949								
47	956	1860	464	291	678	366															
48	366	758	774	974	313	758	763	919	521	946	333	855	145	830	321	239	518	75	468		
49	455	1215	190	683																	
50	717	752	904	675	200	995	925	187	49	905	695	109	234	645	263	173	548	148	512		
51	485	1742	127	609	938	945	216	210	910	758	281	665	92	258	937	867	858	244			
52	321	1903	669	96	925	626	130	285	430	206											
53	283	118	677	198	845	571	765	295	736	255	779	716	276	290	625	31	18	975	707	395	314
54	305	1653	78	203	708	201	983	809	661	786	5	628	700								
55	329	1975	413	366	102	563	507	67	173	691	393	806	301	595	112	310	722	810	968		
56	754	250	120	643	862																
57	565	623	593	992	711	648	590	296	43	123	563	342	294	750	797	760	389	386	809	902	
58	899	777	352	65	194	659	945	204	871	774	769	504	537	252	580	473					
59	180	1960	217	6	552	989	746	381	517	219	956	365	728	733	833	960	665				
60	923	459	928	518	989	644	92														
61	172	698	837	756	499	218	287	209	406	66	686	894	836	708	605	684	676	441			
62	989	1679	41	936	544																
63	871	658	232	252	462	755	572	913	380												
64	640	1906	760	720	739	78	519	327	768	275	771	87	521								
65	637	489	548	655	252	30	308	857	294	885	170	866	56	957	944	310	114	980			
66	457	137	141	916	720	250	761	623	713	169	269	100	243	829	595						
67	7	1242	917	661	351	332															
