<<<<<<< HEAD
1	855	173	894	796	257	192	779	293	189	648											
2	893	1833	979	4	344	903	867	756	709	157											
3	822	891	912	538	994	499	360	739	974	723	873	283	700	173	393	519	899	835	981	123	780
4	528	1118	103	182	177	3															
5	72	414	387	699	264	967	918	883	718	197	280	932	450	673	171	44	119	280			
6	831	1900	968	920	728	34	43	917	416	754											
7	436	1625	357	667	768	881	487	583	437												
8	206	949	181	639	701	191	331	855	388	115	983	902	346	53	688						
9	239	1842	666	222	50	503	129	283	384	957	575	782	904	290	556						
10	535	1686	476	747	787	281	28	843	711	63	28	640	452	910							
11	976	610	530	960	829	917	215	156	971	508	897	256	743	615	548	950	99	559	449	60	719
12	576	1881	640	630	822	510	986	475	489	831	473										
13	980	542	375	329	727	617	628	470	505	240	889	26	285	229	163	113	928	81			
14	4	1703	728	38	79	321	199														
15	95	1409	496	19	67	782															
16	762	688	576	770	832	831	431	250	72	701	561	614	346	594	348	874	547				
17	408	1656	724	542	765	296	9	528	523	923	301	9	222	823							
18	244	1045	418	536	159	249	172	420	8	657	337	518	706	853	501	357	295	949	610		
19	239	322	802																		
20	979	560	304	309	508	948	63	480	738	370	823	709	930	338	388	159	656				
21	202	1432	429	778	302	674	22	566	7	60	611	584	83	484	83	439	257	397	945		
22	863	1825	595	857																	
23	779	672	791																		
24	427	1913	452	582	959	322	917	550	502	459	630	287	941								
25	941	7	154	288	339	627	492	82	991	214	793	289	657	290	571	998	966	643	231		
26	140	100	159	3	124	162	165	888	754	937	315	576									
27	971	235	988	626	49	691	164	935	875	570	238	789	671	665							
28	627	1958	493	986	57	801	892	505	710	152	164	177									
29	462	1207	54	899	217	318	540	698	583												
30	373	1834	67	205	175	928	921	214	453	497	537	909	252	444	328	520	170	226	88	279	475
31	884	1029	332	548	516	339	572	353	126	929	396	131	576	35	989	597					
32	717	1152	937	711	680	925	694	76	609	571	697	149	315	611	304	897	33				
33	438	731	626	412	583	641	100	371	608	513	121	868	294	530	572	508	511	490	537		
34	174	1668	637	473	906	768	874	205	811	319	92	234	543	597	624	725	91				
35	164	412	611	309	317	182	955	741													
36	277	335	806	100	814	360	859	604	589	235	154	506	814								
37	767	1789	290	421	886	325	697	905	847	417	347	285	241								
38	562	1050	456	518	166	491	707	628	5	219	278										
39	873	1369	36	490	937	658	391	529	717	749	28	760	69	416	580	262	729	389	752	529	120
40	297	158	779	635	341																
41	324	121	555	71	144	14	640	704													
42	869	715	689	893	712	845	776	432	696	450	749	911									
43	445	1798	466	748	754	388	914	906	710	302	318	68	469	451							
44	194	1913	55	776	876	393	372	908	64	636	407	452	303	697							
45	84	372	412	615	367	939	605	395	260	253	789	963	647	178							
46	372	1651	394	582	476	80	395														
47	973	70	527																		
48	707	806	347	935	611																
49	210	1254	726	655	853																
50	85	508	222	795	523	87	429	725	731												
51	691	1621	58	720	222	5															
52	790	1237	563	840	232	203	283	912	317	179											
53	754	40	646	170																	
54	390	620	124	857	600	450	948	623	801												
55	976	1423	184	878	890	987	623	326													
56	108	556	244	23	150	938	883	206													
57	908	1351	670	46	641	773	748	392	98	147	191	169	429	939	39	256					
58	491	1962	439	288	766	397	735	539	892	100	66	307	974	919	716	245					
59	41	1895	306	666																	
60	661	821	498	889	477																
61	135	1878	351	206	766	658	957	155	766	620	909	309	934	506	748	674	682	86	123		
62	227	949	389	991	942	949	824	321	319	309	789	876	919	601	600	43	748	859	540	316	
63	962	1124	421	39	787	372	161	912	736	448	413	767									
64	250	1320	460																		
65	359	528	834	636	836	458	830	33	389	334	906	705	925	822	546	807	265	912			
66	446	1936	156	578	664	409	582	860	377	110	670	940	584	583	390	596	723	482	326	726	21
67	590	11	39	254	207	811	626	867	960	984											
68	748	1139	406	109	239	171	228	254	597	454	923	719									
69	393	644	536	226	822																
70	325	1879	425	378	947	758															
71	539	821	770	235	510	150															
72	685	386	91																		
73	983	976	312	98	472	424	137	82	678	646	931	84									
74	276	800	635																		
75	45	1124	115	458	350																
76	700	1520	484																		
77	363	1887	34	200	307	33	552	738	337	14	841	713	2	242	866	80	893				
78	478	238	834	464	515	640	631	870	976	526	138	785									
79	551	145	61	193	308	644	446	625	51	724	662	708	621	204	848	143	873	592	271	806	282
80	906	1978	479	260	393	569	437	57	27	600	552	462	769								
81	725	1881	558																		
82	435	895	69	771	173	756	893	437	782	727	104	933	867	978	270	166	999	533	713		
83	49	503	188	994	697	62	156	159	434	124	202	824	35	835	359	428	838	219	355		
84	723	732	786	709	953	93	733	574	193	603	725	408	336	509	184	571	665	75	74	111	601
